TICKER;PRECO;ULTDIV;DY;VPC;PVP;LIQD;CAIXA;CAGRDIV;CAGRVLR;PATRIMONIO;NCOTISTAS;GESTAO;NCOTA
VCHG11;0.0;;0.0;63.81;;;3.5;;;118155565.38;8102.0;;1851786.0
VCJR11;81.09;0.9;14.68;95.13;0.85;2372386.24;10.85;-3.07;-4.32;1400722001.37;34659.0;Ativa;14723970.0
VCRI11;7.44;0.085;16.13;9.47;0.79;297873.67;8.71;;;168363078.33;11218.0;Ativa;17773297.0
VCRR11;62.99;0.6;13.61;130.49;0.48;182460.86;1.39;-0.79;-2.01;260987737.99;4255.0;Ativa;2000000.0
VCTH11;0.0;;0.0;86.72;;;2.53;;;20299050.3;62.0;;234082.0
VDSV11;0.0;;0.0;977.46;;;9.35;;;37277557.61;84.0;Ativa;38137.0
VERE11;423.45;2.2;7.18;479.21;0.88;0.0;0.45;9.43;;303300610.96;112.0;Ativa;632918.0
VGHF11;7.86;0.09;15.27;8.86;0.89;3207568.38;3.64;-11.26;-6.45;1459392047.53;406957.0;Ativa;164721683.0
VGII11;93.3;2.83;16.05;96.82;0.96;0.0;25.06;;;50235369.53;5.0;Passiva;518865.0
VGIP11;77.07;0.72;12.99;90.44;0.85;1712358.52;3.85;-11.92;-5.86;1065985547.77;88359.0;Ativa;11787247.0
VGIR11;9.34;0.11;13.6;9.74;0.96;5256079.43;12.26;-3.45;1.09;1422405908.98;261193.0;Ativa;146101287.0
VGRI11;7.93;0.15;16.65;9.78;0.81;497381.71;4.96;;;342639869.09;4607.0;Ativa;35021736.0
VIDS11;915.64;2.847092;8.19;911.36;1.0;0.0;0.2;;;83427016.37;199.0;Ativa;91541.0
VIFI11;7.08;0.07;13.28;8.41;0.84;146372.62;6.41;5.35;-53.75;68007064.87;5899.0;Ativa;8089190.0
VILG11;77.31;0.62;10.35;113.48;0.68;1528284.81;3.28;-4.77;-3.36;1701890060.03;156058.0;Ativa;14997396.0
VINO11;5.05;0.05;14.32;10.73;0.47;730088.1;3.44;-7.78;-22.12;888711448.21;153106.0;Ativa;82826295.0
VISC11;97.95;0.8;12.18;126.29;0.78;5057405.38;9.6;8.19;1.85;3640636766.81;351617.0;Ativa;28828640.0
VIUR11;5.88;0.067;15.07;8.8;0.67;191309.81;1.98;-1.85;-5.28;237195762.98;49164.0;Ativa;26946220.0
VJFD11;155.02;0.75;7.53;154.58;1.0;0.0;0.57;-7.39;;753752856.68;96.0;Ativa;4876129.0
VLIQ11;0.0;;0.0;63.81;;;3.5;;;118155565.38;8102.0;;1851786.0
VLJS11;1141.14;28.819221;0.0;843.82;1.35;;1.06;;;21997233.81;9.0;Passiva;26068.0
VLOL11;98.0;1.856441;0.0;63.81;1.54;;3.5;14.56;-0.02;118155565.38;8102.0;;1851786.0
VOTS11;73.19;0.7;15.58;93.78;0.78;2076.33;28.08;-9.65;-4.12;77645133.6;675.0;Ativa;827913.0
VPSI11;15.61;0.198431;18.35;31.43;0.5;0.68;0.71;5.03;;253662294.78;121.0;Ativa;8071897.0
VRTA11;81.05;0.8;13.33;89.77;0.9;1650253.76;2.72;-9.43;-6.14;1399690189.31;120416.0;Ativa;15592424.0
VRTM11;7.19;0.09;15.37;9.34;0.77;415021.62;5.36;;;438741135.86;12522.0;Ativa;46971245.0
VSEC11;0.21;0.08;0.0;63.81;0.0;;3.5;-0.62;-86.83;118155565.38;8102.0;;1851786.0
VSHO11;68.64;0.7;12.51;103.7;0.66;53487.76;1.08;2.93;-2.11;217651027.4;3595.0;Ativa;2098800.0
VSLH11;3.28;0.04;14.63;11.09;0.3;157400.38;2.07;-29.1;-29.62;331165442.19;77618.0;Ativa;29864091.0
VTBL11;0.0;1.5446;0.0;88.25;;;2.13;;;19937954.67;11.0;Ativa;225930.0
VTLT11;89.9;0.93;13.35;112.88;0.8;97413.57;3.26;4.02;0.19;238740077.33;6162.0;Ativa;2115000.0
VTPA11;0.0;;0.0;104.43;;;0.29;;;68907491.19;1.0;Ativa;659857.0
VTPL11;72.1;5.11;0.0;71.89;1.0;0.0;2.88;;;99661107.98;124.0;Ativa;1386242.0
VTRT11;0.0;0.107508;0.0;63.81;;;3.5;;;118155565.38;8102.0;;1851786.0
VTVI11;0.0;;0.0;30.47;;;1.69;;;54262448.36;1.0;Ativa;1780984.0
VTXI11;0.0;;0.0;5.22;;;55.74;;;540091.83;2.0;Ativa;103500.0
VVCO11;13.7;0.323281;0.0;14.25;0.96;26227.19;2.49;;30.39;141098708.5;3054.0;Ativa;9900000.0
VVCR11;9.51;0.09;13.56;10.47;0.91;45856.55;6.98;-42.65;-44.91;78589242.29;2438.0;Ativa;7508332.0
VVMR11;87.82;0.5;10.45;112.43;0.78;56473.33;0.64;2.04;2.42;317396939.81;751.0;Ativa;2823180.0
VVPR11;101.5;0.89234;0.0;63.81;1.59;;3.5;;2.41;118155565.38;8102.0;;1851786.0
VVRI11;99.97;0.728709;11.76;99.47;1.01;61282.14;1.19;;;79846007.28;167.0;Ativa;802683.0
VXXV11;700.0;93.02;26.58;659.94;1.06;92202.36;1.41;;-6.52;182437338.67;20.0;Ativa;276446.0
WHGR11;8.9;0.1;14.55;9.52;0.93;454072.9;3.37;;;294224549.84;12961.0;Ativa;30912378.0
WPLZ11;53.69;0.29;9.2;88.08;0.61;3070.33;1.97;-1.71;-4.72;96676265.86;1726.0;Passiva;1097549.0
