TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
ABCP11;75,89;0,700000;9,22;106,92;0,71;58.177,91;1,83;1,47;7,04;503.496.718,25;15.558,00;Passiva;4.709.082,00
AFHI11;94,51;0,930000;13,19;95,58;0,99;1.109.564,82;9,19;-8,71;0,34;435.416.167,85;42.404,00;Ativa;4.555.618,00
AIEC11;42,42;0,620000;20,46;84,75;0,50;649.803,64;3,71;-1,13;-15,31;408.907.306,13;18.699,00;Ativa;4.824.987,00
AJFI11;7,29;0,070000;11,52;12,25;0,60;631.469,23;0,70;;;387.523.963,60;13.438,00;Ativa;31.625.978,00
ALMI11;577,11;5,000000;2,47;2.172,91;0,27;24.991,77;4,23;;-16,77;241.578.065,81;2.105,00;Passiva;111.177,00
ALZC11;91,50;1,250000;9,02;63,81;1,43;393.275,59;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
ALZM11;7,25;0,085000;15,78;8,07;0,90;200.172,86;4,88;-4,82;-54,99;122.568.479,22;12.022,00;Ativa;15.180.540,00
ALZR11;100,32;0,775000;9,97;105,55;0,95;1.995.116,18;21,73;-13,15;-0,10;1.290.578.615,61;157.190,00;Ativa;12.226.625,00
ANCR11B;3.221,00;1,570972;1,37;108,69;29,63;3.221,00;1,61;;;2.905.722.882,79;139,00;Ativa;26.735.046,00
APTO11;9,08;0,090000;11,89;9,89;0,92;64.174,86;4,82;;;45.623.457,79;9.226,00;Ativa;4.612.227,00
APXM11;101,89;0,473638;6,94;97,28;1,05;166.517,05;0,82;;;217.304.809,90;468,00;;2.233.749,00
APXR11;100,00;;0,00;79,99;1,25;13,64;0,47;;;8.763.816,05;130,00;;109.567,00
APXU11;0,00;;0,00;88,43;;;94,67;;;8.979.090,11;40,00;Ativa;101.542,00
AQLL11;385,03;;0,00;939,49;0,41;;0,06;;;136.994.582,70;84,00;Ativa;145.817,00
ARFI11B;479,99;;0,00;63,81;7,52;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
AROA11;1,11;0,006200;6,58;0,99;1,12;8.978,91;1,49;;;165.880.674,15;3.432,00;Ativa;167.926.832,00
ARRI11;8,65;0,090000;13,76;8,57;1,01;495.476,00;13,32;-9,31;-0,46;168.402.861,21;26.931,00;Ativa;19.646.886,00
ARXD11;8,29;0,100000;14,84;95,91;0,09;159.723,05;4,37;;;86.427.918,96;1.310,00;Ativa;901.117,00
ASMT11;37,00;0,770000;0,00;91,33;0,41;1.546,27;3,81;;-28,56;98.751.193,07;464,00;Ativa;1.081.257,00
ASRF11;10.942,00;256,328699;0,00;9.415,57;1,16;68.679,18;10,65;;;27.700.614,03;68,00;Ativa;2.942,00
ATCR11;0,00;0,228494;0,00;73,84;;;1,10;;;68.591.012,89;33,00;Ativa;928.908,00
ATSA11;51,05;0,500000;2,39;76,69;0,67;1.343,14;1,32;17,56;-19,31;134.299.450,74;287,00;Passiva;1.751.141,00
ATWN11;0,00;;0,00;2.073,95;;;0,71;;;333.401.376,91;2,00;Passiva;160.757,00
AURB11;86,00;0,200000;0,23;76,30;1,13;33,91;0,36;;;68.553.124,23;18,00;Ativa;898.514,00
AZPE11;0,00;;0,00;10,12;;;1,81;;;70.154.733,72;7,00;Ativa;6.930.000,00
AZPL11;7,25;0,082000;3,96;9,89;0,73;600.621,36;0,67;;;180.094.907,84;6.164,00;Ativa;18.209.646,00
BARI11;70,90;0,710000;13,27;91,74;0,77;576.140,18;11,09;-13,52;-9,90;425.121.914,57;39.587,00;Ativa;4.634.191,00
BBFI11;350,26;100,414494;84,24;867,22;0,40;78.304,36;28,60;1,24;-44,15;112.738.252,88;7.329,00;Passiva;130.000,00
BBFO11;63,99;0,620000;12,17;74,86;0,85;236.791,27;0,42;-4,94;0,48;299.748.931,91;6.841,00;Passiva;4.003.900,00
BBIG11;7,80;0,085000;6,22;9,72;0,80;1.340.831,59;4,93;;;963.074.267,14;25.222,00;Ativa;99.120.994,00
BBIM11;0,00;0,340000;0,00;0,00;;;14.146,65;-24,05;;667,50;0,00;Ativa;1.035.000,00
BBRC11;105,00;1,110000;12,71;111,96;0,94;124.269,14;5,25;4,95;6,63;178.015.552,66;9.493,00;Passiva;1.590.000,00
BCFF11;7,28;0,070000;11,67;9,13;0,80;1.866.715,32;6,48;1,07;-2,23;1.839.257.143,48;356.269,00;Ativa;201.491.024,00
BCIA11;85,69;0,840000;12,08;98,63;0,87;585.941,18;0,52;6,91;2,88;366.811.934,62;26.766,00;Ativa;3.719.038,00
BCRI11;62,40;0,840000;14,89;86,87;0,72;466.432,95;9,25;-14,97;-14,72;543.647.927,18;43.756,00;Ativa;6.257.873,00
BETW11;0,00;0,509259;0,00;100,46;;;0,12;;;251.600.631,09;1,00;;2.504.500,00
BICE11;980,00;4,930000;9,01;1.024,66;0,96;9.305,91;9,78;;;122.296.559,14;119,00;Ativa;119.353,00
BICR11;35,92;0,363000;6,86;44,33;0,81;346,14;34,47;-18,17;-27,03;22.167.440,02;668,00;Ativa;500.000,00
BIME11;7,17;0,087000;13,71;8,58;0,84;49.923,05;0,44;-9,13;-8,01;50.169.666,70;8.945,00;Ativa;5.845.602,00
BIPD11;915,10;73,070000;7,98;998,76;0,92;0,00;6,32;;;91.284.991,70;112,00;Ativa;91.398,00
BIPE11;1.000,00;;0,00;901,73;1,11;227,27;101,33;;;4.346.359,73;101,00;Ativa;4.820,00
BLCA11;119,97;0,500000;15,50;119,26;1,01;125.527,32;5,25;42,09;;190.814.526,77;499,00;Ativa;1.600.000,00
BLCP11;91,00;0,563428;0,00;63,81;1,43;;3,50;;4,64;118.155.565,38;8.102,00;;1.851.786,00
BLMC11;85,75;1,070000;3,63;63,81;1,34;150.671,33;3,50;-0,67;-4,80;118.155.565,38;8.102,00;;1.851.786,00
BLMG11;32,65;0,500000;15,19;70,23;0,46;773.238,86;1,84;-17,20;-26,95;299.788.809,70;14.148,00;Ativa;4.268.807,00
BLMO11;72,47;0,450000;155,76;104,00;0,70;34.241,00;2,80;;;103.463.246,47;394,00;Ativa;994.814,00
BLMR11;6,78;0,053000;0,00;63,81;0,11;1.157.702,33;3,50;;-2,83;118.155.565,38;8.102,00;;1.851.786,00
BLOG11;10,43;0,070000;5,08;10,20;1,02;375,91;0,36;;;145.432.458,26;4,00;Ativa;14.257.443,00
BLUR11;84,41;0,550000;10,79;84,50;1,00;1.794,59;6,17;;;7.604.839,18;1,00;Ativa;90.000,00
BMII11;0,00;0,228341;0,00;457,66;;;1,04;;;68.924.121,72;12,00;Passiva;150.600,00
BMLC11;98,03;0,720000;8,87;99,24;0,99;34.800,23;5,90;0,15;4,65;99.077.569,99;1.384,00;Ativa;998.405,00
BNFS11;99,01;1,361859;16,52;84,47;1,17;116.091,23;6,91;-0,57;-4,37;59.129.173,28;114.536,00;Ativa;700.000,00
BPFF11;59,82;0,600000;12,40;73,15;0,82;315.094,00;6,01;-2,36;-1,14;328.607.977,19;21.211,00;Ativa;4.492.326,00
BPLC11;0,00;14,420464;0,00;10.266,68;;;1,69;;;328.533.893,90;114,00;Passiva;32.000,00
BPML11;79,70;1,070000;14,10;129,15;0,62;841.454,00;22,28;;2,15;961.122.014,82;6.147,00;Ativa;7.441.745,00
BPRP11;107,50;0,925000;8,56;125,57;0,86;488,64;0,19;2,64;3,62;169.496.975,27;171,00;Passiva;1.349.837,00
BRCO11;103,80;0,870000;10,25;118,91;0,87;3.303.740,68;0,98;9,88;6,39;1.891.275.643,49;120.569,00;Ativa;15.905.133,00
BRCR11;42,50;0,500000;13,27;89,17;0,48;1.439.031,05;0,89;-1,04;-10,20;2.375.457.375,38;133.840,00;Ativa;26.638.202,00
BREV11;105,00;0,580000;0,00;63,81;1,65;266.069,00;3,50;8,81;2,02;118.155.565,38;8.102,00;;1.851.786,00
BRHT11B;86,80;;0,00;67,09;1,29;;2,43;;;123.557.186,66;11,00;Ativa;1.841.677,00
BRIM11;1.002,00;48,330000;34,21;721,35;1,39;43.561,77;11,62;;;89.547.033,68;413,00;Ativa;124.137,00
BRIP11;947,00;32,150000;32,75;943,49;1,00;12.938,59;3,96;;;203.298.246,28;316,00;Ativa;215.475,00
BRIX11;1.673,35;;0,00;1.035,45;1,62;0,00;10,51;;;122.945.108,14;94,00;Ativa;118.735,00
BROF11;46,98;0,440000;12,99;108,66;0,43;346.334,45;0,55;;;1.261.652.855,07;10.228,00;;11.610.812,00
BROL11;0,00;;0,00;63,81;;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
BRSE11;0,00;;0,00;18.447,74;;;1,66;;;36.895.476,72;12,00;Ativa;2.000,00
BTAL11;70,50;0,840000;12,71;112,44;0,63;551.267,23;2,67;-3,07;-6,99;672.696.794,75;42.074,00;Ativa;5.982.736,00
BTCI11;8,88;0,091000;12,53;10,04;0,88;1.649.635,41;20,72;-5,98;2,29;998.958.585,38;180.045,00;Ativa;99.521.172,00
BTCR11;88,00;0,900000;0,00;63,81;1,38;207.690,18;3,50;32,78;0,13;118.155.565,38;8.102,00;;1.851.786,00
BTHF11;0,00;0,092000;0,00;9,97;;;13,35;;;565.396.244,89;14.058,00;Ativa;56.729.905,00
BTHI11;39,00;0,410000;10,17;63,07;0,62;58.109,00;2,27;-3,04;-24,79;581.380.927,35;1.110,00;Ativa;9.218.512,00
BTHI12;45,00;0,560000;0,00;63,07;0,71;;2,27;;1,53;581.380.927,35;1.110,00;Ativa;9.218.512,00
BTLG11;97,30;0,780000;9,51;104,37;0,93;9.042.465,73;40,94;1,60;-0,37;4.513.805.717,93;360.950,00;Ativa;43.249.151,00
BTML11;103,03;0,850000;8,83;115,57;0,89;0,00;4,41;;;131.194.648,86;1,00;Ativa;1.135.160,00
BTRA11;41,46;0,300000;10,13;110,68;0,37;217.877,41;9,09;-24,94;-21,31;372.405.944,37;14.991,00;Ativa;3.364.559,00
BTSG11;159,05;0,950000;6,99;145,28;1,09;245,86;0,82;;;112.590.342,61;111,00;Ativa;775.015,00
BTSI11;111,60;0,750000;7,97;107,67;1,04;25,50;0,07;;;472.994.523,39;175,00;Ativa;4.393.084,00
BTWR11;105,49;0,650000;7,12;113,87;0,93;53.459,59;1,10;15,75;;92.150.899,10;137,00;Ativa;809.269,00
BTYU11;11,40;0,088000;6,89;10,33;1,10;745.632,82;4,39;;;206.518.481,73;64,00;Ativa;20.000.000,00
BVAR11;1.446,00;3,500000;7,95;864,59;1,67;0,00;0,44;-17,86;;540.837.224,20;131,00;Passiva;625.540,00
BZEL11;0,00;5,092421;0,00;143,43;;;0,13;;;507.462.354,49;3,00;Ativa;3.538.046,00
BZLI11;19,78;;0,00;18,21;1,09;29,00;0,00;;6,75;795.977.718,36;19,00;Ativa;43.704.163,00
CACR11;91,20;1,320000;18,07;98,60;0,92;2.118.489,82;9,24;-2,70;-2,01;476.881.341,47;25.148,00;Ativa;4.836.324,00
CARE11;1,35;0,008385;0,00;6,99;0,19;96.858,50;2,46;;-13,00;250.052.298,45;11.630,00;Ativa;35.769.919,00
CBOP11;26,00;0,050000;4,73;71,87;0,36;16.240,14;1,01;-47,56;-23,98;101.697.279,41;2.634,00;Passiva;1.415.000,00
CCLB11;0,00;;0,00;63,81;;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
CCME11;9,23;0,080000;11,05;10,56;0,87;625.749,00;6,19;;;715.886.523,59;4.536,00;Ativa;67.797.053,00
CCRF11;92,50;0,632531;0,00;63,81;1,45;;3,50;;-5,03;118.155.565,38;8.102,00;;1.851.786,00
CCVA11;98,97;0,649633;2,07;100,63;0,98;0,00;0,79;;;62.137.440,05;1,00;;617.500,00
CENU11;100,00;;0,00;98,52;1,02;0,00;2,91;;;112.292.507,34;27,00;Ativa;1.139.780,00
CEOC11;39,00;0,465000;13,42;72,44;0,54;34.424,09;2,46;-3,50;-8,83;131.530.027,46;4.552,00;Passiva;1.815.696,00
CFHI11;636,00;14,000000;28,40;632,91;1,00;0,00;3,60;;;59.873.213,10;103,00;Ativa;94.600,00
CFII11;952,60;47,400000;11,76;1.049,59;0,91;0,00;16,50;;;128.910.186,16;107,00;Ativa;122.819,00
CIXM11;9,04;0,120000;13,27;37,33;0,24;220.499,50;0,23;;;228.731.987,91;108,00;Ativa;6.127.180,00
CIXR11;0,00;;0,00;63,81;;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
CJCT11;52,63;0,090000;3,15;71,82;0,73;340.599,55;0,43;-11,81;-7,89;225.510.031,79;966,00;Passiva;3.140.000,00
CJFI11;0,00;;0,00;63,81;;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
CLIN11;92,00;0,950000;12,96;97,77;0,94;2.195.602,05;9,77;;;425.002.649,89;11.521,00;Ativa;4.346.763,00
CNES11;1,18;0,005160;7,96;7,68;0,15;82.066,68;5,26;-4,37;-27,05;262.055.991,81;112.157,00;Ativa;34.134.825,00
COPP11;103,00;0,750000;0,73;110,20;0,93;1.827.632,00;0,50;;;310.776.544,09;131,00;Ativa;2.820.016,00
CPFF11;62,00;0,490000;12,10;76,64;0,81;228.560,14;0,08;1,04;-4,22;195.654.849,04;8.277,00;Ativa;2.553.074,00
CPFO11;0,00;;0,00;63,81;;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
CPLG11;10,90;0,100000;1,66;10,60;1,03;2.483.888,00;0,32;;;364.166.074,20;164,00;Ativa;34.345.220,00
CPOF11;109,00;0,850000;7,22;110,20;0,99;487,82;0,50;;;310.776.544,09;131,00;Ativa;2.820.016,00
CPSH11;9,58;0,100000;12,47;11,16;0,86;1.429.251,95;0,24;;;889.492.755,95;8.341,00;Ativa;79.699.818,00
CPTS11;7,13;0,062000;12,37;8,71;0,82;14.413.798,09;0,15;-11,67;-8,01;2.768.458.621,75;386.174,00;Ativa;317.828.140,00
CRFF11;73,74;0,610000;10,56;81,86;0,90;21.495,91;4,71;1,05;5,59;56.484.279,40;1.358,00;Ativa;690.040,00
CSMC11;0,00;15,155700;0,00;1.034,94;;;5,38;;;1.365.585.065,77;1,00;Ativa;1.319.483,00
CTEM11;7,12;;0,00;63,81;0,11;0,00;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
CTNP11;0,00;;0,00;63,81;;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
CTXT11;6,00;0,010000;0,00;27,03;0,22;1.382,00;3,96;-23,80;-31,29;106.015.755,51;2.445,00;Passiva;3.921.434,00
CVBI11;84,00;0,900000;13,19;92,88;0,90;2.224.186,73;8,18;-5,09;-3,99;1.022.598.364,36;93.015,00;Ativa;11.010.228,00
CVPR11;0,00;0,100000;0,00;102,64;;;27,57;;;3.766.704,03;2,00;Ativa;36.699,00
CXAG11;68,79;0,690000;12,18;115,57;0,60;235.163,23;1,64;;;241.616.131,10;12.577,00;Ativa;2.090.621,00
CXCE11;39,40;0,433769;12,80;64,50;0,61;18.823,05;6,72;4,56;-0,46;110.485.267,50;3.294,00;Passiva;1.712.950,00
CXCI11;72,36;0,750000;12,77;85,19;0,85;149.064,55;4,84;;;175.292.253,82;5.336,00;Ativa;2.057.726,00
CXCO11;53,00;0,494900;15,56;101,87;0,52;222.174,09;0,81;-0,34;-12,12;399.786.890,63;13.723,00;Passiva;3.924.500,00
CXRI11;72,80;0,590000;10,47;82,01;0,89;43.121,82;4,86;2,43;3,60;129.223.138,22;1.953,00;Ativa;1.575.760,00
CXTL11;213,01;1,545946;12,05;399,19;0,53;2.447,73;2,91;34,25;-8,54;21.395.253,87;697,00;Passiva;53.597,00
CYCR11;8,57;0,090000;14,59;9,46;0,91;625.692,45;50,61;-4,91;-4,27;345.756.286,09;16.771,00;Ativa;36.549.445,00
CYLD11;100,00;;0,00;117,59;0,85;1.363.636,36;10,56;;;146.029.596,70;105,00;Ativa;1.241.847,00
DAMA11;9,75;0,080000;4,92;9,57;1,02;11.959,64;7,87;;;44.206.710,71;699,00;;4.620.372,00
DAMT11B;11,45;0,042538;0,85;13,86;0,83;14,00;7,27;;125,39;246.416.467,00;538,00;Passiva;17.779.747,00
DEVA11;30,25;0,450000;20,36;99,48;0,30;944.984,77;2,96;-24,44;-31,97;1.397.215.436,97;102.184,00;Ativa;14.044.908,00
DLMT11;0,00;0,002316;0,00;0,60;;;9,68;-21,04;;7.912.868,89;9,00;Ativa;13.225.796,00
DMAC11;13,00;4,894618;0,00;63,81;0,20;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
DOMC11;439,00;;0,00;102,18;4,30;;0,35;;;249.697.796,14;1.091,00;Ativa;2.443.800,00
DOVL11B;1.200,69;6,242107;7,43;653,30;1,84;;5,18;21,41;;43.382.831,04;100,00;Ativa;66.406,00
DPRO11;6,67;0,055000;9,33;9,24;0,72;4.788,05;1,68;;;46.223.356,72;743,00;Ativa;5.003.220,00
DRIT11B;83,30;0,340000;16,91;128,13;0,65;;30,82;24,15;-1,05;59.359.067,92;1,00;Ativa;463.277,00
DVFF11;6,71;0,070000;12,67;8,57;0,78;14.845,23;6,20;-1,22;-7,76;94.349.889,73;1.734,00;Ativa;11.009.500,00
DVLP11;130,49;;0,00;131,22;0,99;4.869,64;12,10;;;73.114.965,25;282,00;Ativa;557.199,00
DVLT11;100,00;;0,00;98,80;1,01;0,00;20,73;;;24.374.547,59;190,00;Ativa;246.712,00
EAGL11;0,00;;0,00;;;;;;;;;;0,00
EDFO11B;229,98;1,296417;9,01;223,35;1,03;;1,46;2,52;2,91;52.709.925,84;520,00;Passiva;236.000,00
EDGA11;17,91;0,060000;5,01;62,56;0,29;19.640,05;0,62;-14,76;-8,50;238.474.358,50;4.456,00;Passiva;3.812.055,00
EDGE11;0,00;;0,00;1.002,04;;;99,33;;;4.794.778,89;16,00;Ativa;4.785,00
EGDB11;1.043,62;;0,00;857,97;1,22;3.311,23;0,29;;;45.715.434,44;1.650,00;Ativa;53.283,00
EGYR11;3,62;;0,00;122,75;0,03;787,86;0,00;;-0,46;92.982.425,83;45,00;Passiva;757.522,00
ELDO11B;762,38;7,500000;18,49;1.616,23;0,47;;0,34;14,44;;1.272.386.962,79;113,00;Passiva;787.256,00
EMET11;10,00;;0,00;10,12;0,99;142.699,82;0,84;;;50.590.051,92;42,00;Ativa;5.000.000,00
EQIR11;8,20;0,095000;13,92;9,73;0,84;269.865,95;7,14;;-5,96;106.156.021,03;11.725,00;Ativa;10.909.315,00
ERCR11;16.155,16;1.868,750000;11,57;28.205,36;0,57;0,00;0,40;;3,70;67.015.924,31;10,00;Passiva;2.376,00
ERPA11;133,15;0,840000;7,18;141,92;0,94;98.946,59;1,13;;;71.092.835,38;421,00;Passiva;500.922,00
ESTQ11;0,00;;0,00;0,01;;;106,83;;;831.528,51;5,00;Ativa;65.361.974,00
EURO11;221,97;1,880000;10,16;338,11;0,66;47.449,82;1,82;2,48;4,88;129.813.188,02;2.190,00;Passiva;383.936,00
EVBI11;9,50;0,080000;8,79;9,95;0,95;273.719,41;0,02;0,45;0,35;415.216.580,97;1.372,00;Ativa;41.742.438,00
EXES11;9,60;0,100000;10,76;9,12;1,05;16.480,59;0,47;;;64.832.664,06;347,00;Ativa;7.105.444,00
FAED11;136,80;1,580000;13,54;219,83;0,62;75.663,82;1,83;2,62;0,88;152.205.713,73;4.488,00;Passiva;692.377,00
FAGL11;0,00;;0,00;63,81;;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
FAMB11B;609,99;9,160000;0,00;2.147,55;0,28;47.041,93;2,21;-9,82;-15,05;263.155.960,84;2.285,00;Passiva;122.538,00
FAOE11;926,90;11,160900;2,28;0,00;;0,00;;;;0,00;0,00;Ativa;0,00
FARU11;0,00;;0,00;63,81;;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
FATN11;87,00;0,850000;11,72;102,41;0,85;548.717,68;8,48;1,41;-1,95;352.893.928,61;19.825,00;Ativa;3.445.767,00
FCAS11;0,00;0,121915;0,00;63,81;;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
FCFL11;111,73;0,850000;9,88;122,89;0,91;313.442,68;0,74;1,01;5,32;426.904.810,21;3.907,00;Ativa;3.474.010,00
FGPM11;0,00;;0,00;63,81;;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
FIGS11;48,70;0,430000;10,68;81,25;0,60;91.454,95;0,90;5,49;0,31;231.571.161,57;13.061,00;Passiva;2.850.000,00
FIIB11;493,56;3,750000;8,66;472,36;1,04;299.190,77;1,33;1,39;5,53;323.569.137,41;15.943,00;Passiva;685.000,00
FIIC11;0,00;;0,00;63,81;;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
FIIP11B;161,37;1,400000;10,68;200,93;0,80;15.426,45;1,55;3,15;2,69;186.292.089,42;6.990,00;Passiva;927.162,00
FINF11;0,00;0,274845;0,00;38,68;;;3,00;4,06;;31.724.480,65;4,00;Ativa;820.112,00
FISC11;65,00;0,470000;7,11;120,50;0,54;35.400,68;0,75;23,52;;204.845.565,95;192,00;Ativa;1.699.996,00
FISD11;149,33;6,526269;0,00;57,81;2,58;0,00;3,27;;;62.009.536,64;23,00;Ativa;1.072.588,00
FIVN11;2,32;;0,00;6,91;0,34;2.519,55;0,01;;1,79;65.004.922,39;3.741,00;Passiva;9.412.630,00
FLCR11;96,81;1,150000;13,92;96,99;1,00;594.191,86;12,65;-5,32;0,93;61.455.571,61;3.194,00;Ativa;633.604,00
FLFL11;0,00;0,180000;0,00;142,47;;;4,08;;;492.126.263,94;1,00;Ativa;3.454.262,00
FLMA11;133,72;1,230000;9,07;217,36;0,62;66.250,82;1,08;8,34;5,02;300.101.710,89;13.285,00;Ativa;1.380.670,00
FLNR11;1.273,88;;0,00;1.229,77;1,04;0,00;0,53;;;156.005.106,38;125,00;Passiva;126.856,00
FLRP11;1.918,00;13,000000;8,50;2.287,98;0,84;9.014,23;1,06;13,21;18,36;164.734.569,18;811,00;Passiva;72.000,00
FMOF11;50,99;0,500000;1,88;117,28;0,43;219,18;1,92;8,89;-8,51;59.579.536,76;260,00;Passiva;508.008,00
FOFT11;123,00;1,900000;0,00;7,00;17,57;;2,33;-47,71;;250.509.603,82;11.454,00;Ativa;35.769.919,00
FPAB11;219,91;1,250000;4,83;341,80;0,64;22.760,82;5,22;-16,82;3,05;256.351.560,63;797,00;;750.000,00
FPNG11;276,20;0,500000;0,68;173,73;1,59;3.123,23;1,50;-0,70;;404.668.655,35;128,00;Ativa;2.329.292,00
FRHY11;0,00;1,030000;0,00;18,04;;;85,33;;;2.353.983,36;7,00;Ativa;130.500,00
FTCE11B;2.900,89;32,843071;3,17;2.824,94;1,03;;4,29;;;3.300.794.225,99;126,00;Ativa;1.168.446,00
FVBI11;94,97;0,369573;0,00;63,81;1,49;;3,50;142,93;;118.155.565,38;8.102,00;;1.851.786,00
FVPQ11;51,02;0,410000;14,41;191,55;0,27;70.855,91;1,31;-2,86;-20,67;536.375.789,79;4.180,00;Passiva;2.800.149,00
GAME11;8,60;0,090000;12,79;9,59;0,90;89.389,50;1,39;-8,92;;208.009.510,65;24.514,00;Ativa;21.697.677,00
GARE11;9,05;0,092000;11,51;9,00;1,01;7.169.042,41;0,53;1,89;-2,65;1.133.131.462,28;272.842,00;Ativa;125.866.045,00
GCDL11;102,48;;0,00;74,46;1,38;3.396,27;39,93;;;4.343.021,11;648,00;Ativa;58.330,00
GCFF11;69,30;0,750000;0,00;63,81;1,09;;3,50;;0,14;118.155.565,38;8.102,00;;1.851.786,00
GCOI11;98,99;0,805870;0,00;94,93;1,04;0,00;8,48;;;10.726.744,06;354,00;Ativa;113.000,00
GCRI11;64,77;0,870000;16,66;89,64;0,72;117.854,45;6,94;-11,58;-10,76;130.328.158,16;4.540,00;Ativa;1.453.859,00
GESE11B;1.520,00;14,973763;77,79;63,81;23,82;;3,50;118,15;;118.155.565,38;8.102,00;;1.851.786,00
GGRC11;10,07;0,100000;10,99;11,29;0,89;1.612.051,59;3,16;0,67;-1,26;1.194.417.360,14;132.517,00;Ativa;105.802.729,00
GLOG11;57,49;0,500000;11,12;108,66;0,53;48.896,32;1,79;-11,02;-8,68;81.493.743,39;2.362,00;Ativa;750.000,00
GLPL11;0,00;;0,00;63,81;;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
GRLV11;104,51;0,170000;0,00;63,81;1,64;;3,50;135,25;;118.155.565,38;8.102,00;;1.851.786,00
GRUL11;8,58;0,110000;1,28;9,58;0,90;488.439,73;2,07;;;236.651.074,27;3.638,00;Ativa;24.700.000,00
GSFI11;7,58;;0,00;13,49;0,56;138.035,95;0,94;;21,27;1.262.496.897,54;7.257,00;Ativa;93.558.184,00
GTLG11;63,99;0,840000;0,00;63,81;1,00;;3,50;;-14,93;118.155.565,38;8.102,00;;1.851.786,00
GTWR11;72,30;0,790000;13,11;101,43;0,71;745.428,00;1,61;2,47;1,03;1.217.203.996,80;40.009,00;Ativa;12.000.000,00
GURB11;108,00;0,700000;1,30;115,57;0,93;5.000.076,00;4,41;;;131.194.648,86;1,00;Ativa;1.135.160,00
GVBI11;0,00;;0,00;63,81;;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
GZIT11;45,80;0,780000;17,41;94,97;0,48;1.142.725,36;1,33;;;2.074.219.314,09;5.624,00;Ativa;21.841.231,00
HAAA11;33,11;0,080000;6,64;74,77;0,44;1.612,45;0,62;-30,59;-29,04;258.319.283,19;244,00;Ativa;3.455.000,00
HABT11;74,14;0,900000;16,40;95,35;0,78;1.430.795,73;3,13;-6,08;-11,68;774.895.405,03;70.562,00;Ativa;8.126.783,00
HBCR11;136,00;0,800000;7,34;129,41;1,05;9.503.501,36;6,95;1,79;9,27;207.050.259,46;42,00;Ativa;1.600.000,00
HBTT11;1.055,00;16,580000;0,00;63,81;16,53;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
