TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
QNTS11;0,00;0,016200;0,00;127,91;;;1,31;;;166.863.860,84;133,00;Ativa;1.304.552,00
QTZD11;0,00;;0,00;9,84;;;54,83;;;4.184.546,80;32,00;Ativa;425.332,00
RBBV11;100,00;0,224057;0,00;63,81;1,57;;3,50;75,40;;118.155.565,38;8.102,00;;1.851.786,00
RBCB11;19,00;0,300000;0,00;63,81;0,30;;3,50;-15,04;;118.155.565,38;8.102,00;;1.851.786,00
RBDS11;2,99;2,354143;0,00;18,75;0,16;228,23;21,58;18,99;-32,97;2.372.684,71;896,00;Ativa;126.523,00
RBED11;108,00;8,400000;21,55;145,41;0,74;315.052,91;3,70;18,94;-3,72;342.452.410,07;12.459,00;Ativa;2.355.022,00
RBFF11;50,71;0,510000;12,03;63,69;0,80;544.595,05;4,00;1,29;0,50;238.783.512,08;24.044,00;Ativa;3.749.215,00
RBGS11;28,45;0,176600;0,00;63,81;0,45;;3,50;4,91;-2,22;118.155.565,38;8.102,00;;1.851.786,00
RBHG11;76,90;0,850000;14,56;87,57;0,88;315.426,86;3,14;-8,21;-0,91;189.838.549,44;10.748,00;Ativa;2.167.957,00
RBHY11;82,42;1,000000;14,86;93,36;0,88;255.843,59;5,56;-10,31;-4,04;176.778.574,30;3.539,00;Ativa;1.893.505,00
RBIR11;78,65;2,000000;3,83;100,79;0,78;116.571,64;1,07;;1,90;154.071.988,54;1.591,00;Ativa;1.528.615,00
RBLG11;61,50;0,750000;17,56;72,42;0,85;1.945,32;3,28;3,15;-9,72;46.364.220,93;261,00;Ativa;640.199,00
RBOP11;350,00;3,500000;16,23;758,33;0,46;24.493,55;5,02;-26,18;-20,59;77.095.275,68;3.532,00;Ativa;101.664,00
RBRD11;35,04;0,380000;12,44;63,51;0,55;29.608,00;3,06;0,39;-7,51;117.610.204,60;7.999,00;Ativa;1.851.786,00
RBRF11;6,55;0,090000;10,81;8,51;0,77;2.427.753,55;0,58;-1,35;-0,40;1.164.884.542,36;131.188,00;Ativa;136.807.700,00
RBRI11;916,82;47,000000;18,22;1.090,75;0,84;0,00;5,34;;;152.339.255,11;100,00;Ativa;139.665,00
RBRL11;72,50;0,770000;11,38;102,85;0,70;860.250,64;1,07;0,76;-4,61;687.779.946,36;14.656,00;Ativa;6.687.035,00
RBRM11;94.794,81;2.002,089652;0,00;5.301,98;17,88;;100,00;;;2.860.101,93;54,00;Ativa;539,00
RBRP11;53,03;0,540000;10,81;76,58;0,69;1.064.980,00;3,51;2,76;-6,01;932.639.267,70;81.185,00;Ativa;12.179.186,00
RBRR11;81,60;0,800000;11,99;93,51;0,87;3.362.597,50;0,44;-7,94;-3,93;1.407.993.263,10;133.163,00;Ativa;15.057.201,00
RBRS11;40,90;0,070000;2,00;91,86;0,45;22.266,36;2,31;0,07;-14,79;159.313.288,29;1.122,00;Ativa;1.734.299,00
RBRU11;0,00;;0,00;63,81;;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
RBRX11;8,21;0,080000;15,10;9,54;0,86;731.426,27;3,89;;;281.039.123,01;14.808,00;Ativa;29.468.659,00
RBRY11;91,55;0,900000;12,79;97,62;0,94;3.580.028,14;4,29;-6,92;-1,58;1.246.590.082,22;63.889,00;Ativa;12.769.512,00
RBTS11;590,00;22,998673;3,90;528,15;1,12;3.567,09;12,79;;;29.853.616,35;141,00;Ativa;56.525,00
RBVA11;94,91;1,000000;12,64;107,67;0,88;1.785.486,91;5,42;0,91;1,04;1.344.249.003,88;64.361,00;Ativa;12.485.334,00
RBVO11;5,70;0,010000;42,72;5,61;1,02;48.816,55;100,29;71,05;-27,23;2.892.482,45;6.830,00;Ativa;515.824,00
RCFA11;0,97;;0,00;19,45;0,05;615,50;0,01;;20,10;11.355.442,56;280,00;Passiva;583.926,00
RCFF11;90,02;19,000000;23,12;123,50;0,73;8,77;23,59;;-1,94;39.915.851,69;80,00;Ativa;323.200,00
RCKF11;0,00;;0,00;63,81;;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
RCRB11;126,17;1,050000;8,91;204,93;0,62;1.346.234,05;1,17;11,27;-2,45;756.340.249,18;34.344,00;Ativa;3.690.695,00
RCRI11B;1.200,00;12,481836;0,00;63,81;18,81;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
RDCI11;0,00;31,150000;0,00;85,19;;;12,23;;;221.648.662,79;114,00;Ativa;2.601.800,00
RDLI11;100,00;;0,00;95,27;1,05;0,00;9,33;;;154.188.774,91;210,00;Ativa;1.618.493,00
RDLS11;0,00;;0,00;1.000,73;;;20,78;;;205.149.413,45;31,00;;205.000,00
RECD11;11,00;;0,00;10,14;1,08;23.753,44;29,33;;;55.297.398,94;144,00;Ativa;5.453.775,00
RECH11;0,00;;0,00;63,81;;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
RECM11;0,00;;0,00;9,79;;;62,42;;;82.206.142,26;58,00;Ativa;8.400.517,00
RECR11;76,00;1,080600;13,71;92,08;0,83;3.062.591,82;6,53;-8,24;-6,72;2.434.740.591,37;170.849,00;Ativa;26.441.650,00
RECT11;28,48;0,360000;15,85;91,99;0,31;342.581,05;0,15;-9,85;-22,73;785.911.692,89;56.626,00;Ativa;8.543.493,00
RECX11;67,99;0,600000;8,21;72,78;0,93;0,00;40,72;-12,46;-8,67;15.889.262,04;592,00;Ativa;218.313,00
REIT11;90,06;2,337300;9,83;284,32;0,32;8,18;9,88;;-51,46;7.475.126,43;67,00;Ativa;26.291,00
RELG11;56,76;0,100000;1,34;127,02;0,45;97.032,50;0,39;-37,93;-9,50;169.512.288,59;4.555,00;Ativa;1.334.562,00
RENV11;10,34;0,095000;2,51;9,82;1,05;74.831,18;84,50;;;10.080.187,31;480,00;Ativa;1.026.794,00
RFOF11;63,00;0,690000;13,78;70,55;0,89;116.297,86;4,44;2,46;-1,24;76.067.671,74;4.688,00;Ativa;1.078.164,00
